시도,구군,기관명,주차장명,유형,주소,위치 정보,전화번호,위도,경도,09-28(목),09-29(금),09-30(토),10-01(일),10-02(월),10-03(화),365일 상시 무료개방 여부
부산광역시,강서구,부산시 강서구청,명지중앙상가 공영주차장,노상,부산광역시 강서구 명지동 3282,노상 주차장,051-970-4562,35.084555,128.903976,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,부산시 강서구청,명지동 주민자율 주차장,노외,부산광역시 강서구 명지동 3321-2,주민자율주차장,051-970-4562,35.110634,128.922466,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,부산시 강서구청,녹산산단공영주차장,노외,부산광역시 강서구 송정동 1759,청사 앞,051-970-4832,35.08393,128.84034,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,부산시 강서구청,지양곡 공영주차장,노외,부산광역시 강서구 천성동 270-2번지 일원,공영주차장,051-970-4562,35.02181,128.822795,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,금정구,금정구청 교통행정과,온천천복개도로외1노상공영주차장,노상,부산광역시 금정구 남산동 18-2 일원,주차장,051-519-4516,35.271832,129.089415,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,아니오
부산광역시,금정구,금정구청 교통행정과,금샘로노상공영주차장,노상,부산광역시 금정구 남산동 970-1 일원,주차장,051-519-4516,35.271694,129.084894,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,아니오
부산광역시,금정구,금정구청 교통행정과,선동주차장,노외,부산광역시 금정구 선동 720-2,주차장,051-519-4516,35.26549,129.1094,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,예
부산광역시,금정구,금정구청 교통행정과,오륜동공영주차장,노외,부산광역시 금정구 오륜동 672-6,주차장,051-519-4516,35.247399,129.101779,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,예
부산광역시,금정구,금정구청 교통행정과,범어사상마공영주차장,노외,부산광역시 금정구 청룡동435-19일원,주차장,051-519-4516,35.279863,129.074263,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,예
부산광역시,금정구,금정구청 문화관광과,금성산성광장 주차장,노외,부산광역시 금정구  금성동 682 일원,금정산성 광장 일부,051-519-4084,35.245884,129.056778,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,예
부산광역시,금정구,금정구청 재무과,금정구청,노외,부산광역시 금정구 중앙대로 1777(부곡동),건물 앞,051-519-4161,35.243088,129.092142,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,아니오
부산광역시,금정구,금정문화회관,금정문화회관 부설주차장,노외,부산광역시 금정구 체육공원로 7,주차장,051-519-5654,35.245919,129.094474,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,아니오
부산광역시,기장군,기장군청,기장군청,부설,부산광역시 기장군 기장읍 기장대로 560,청사입구,051-709-4216,35.244291,129.222983,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,기장군,기장군청 신천리 공영주차장,기장군청 신천리 공영주차장,노외,기장읍 신천리298,,051-709-4216,35.243254,129.223861,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,기장군,기장읍사무소,기장읍사무소,부설,부산광역시 기장군 기장읍 차성동로5번길 10,청사입구,051-709-5115,35.238698,129.215811,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,o
부산광역시,기장군,일광읍사무소,일광읍사무소,부설,부산광역시 기장군 일광면 일광로 77-7,청사입구,051-709-5212,35.263916,129.232406,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,o
부산광역시,기장군,정관도서관,정관도서관,부설,부산광역시 기장군 정관면 정관중앙로 100,청사입구,051-709-3902,35.325346,129.181939,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,X
부산광역시,기장군,정관보건지소,정관보건지소,부설,정관읍 용수로 11,청사 입구,051-709-2901,35.325212,129.179186,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,o
부산광역시,기장군,정관읍사무소,정관읍사무소,부설,부산광역시 기장군 정관읍 용수로 4,청사입구,051-709-5245,35.325828,129.180131,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,o
부산광역시,기장군,철마면사무소,철마면사무소,부설,부산광역시 기장군 철마면 철마로 485,청사입구,051-709-5276,35.274999,129.149848,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,o
부산광역시,남구,감만종합사회복지관,감만창의문화촌,부설,부산광역시 남구 우암로 84-1(감만동),부산 남구 우암로841,051-745-7243,35.118568,129.081327,07:00~,종일개방,종일개방,~22:00,X,X,X
부산광역시,남구,나사함복지관,나사함발달장애인복지관,부설,부산광역시 남구 못골번영로 70(대연동),본관 앞,051-627-8521,35.141429,129.089037,종일개방,종일개방,종일개방,종일개방,X,X,X
부산광역시,남구,남구노인복지관,남구노인복지관,부설,부산광역시 남구 못골로 97-10(대연동),본관건물 1층,051-628-1291,35.136246,129.093235,종일개방,종일개방,종일개방,종일개방,X,X,X
부산광역시,남구,남구장애인복지관,남구장애인복지관,부설,부산광역시 남구 조각공원로11번길 38(대연동),복지관 입구,051-626-6990,35.129323,129.099166,종일개방,종일개방,종일개방,종일개방,X,X,X
부산광역시,남구,부산 남구시설관리공단,남구 실내빙상장,부설,부산광역시 남구 백운포로 110(용호동),지상주차장,051-601-3414,35.104158,129.110078,종일개방,종일개방,종일개방,X,X,X,X
부산광역시,남구,남부교육지원청,남부교육지원청,부설,부산광역시 남구 못골로 29(대연동),지상주차장,051-640-0315,35.136107,129.085749,09:00~,종일개방,종일개방,종일개방,종일개방,~18:00,X
부산광역시,남구,부산광역시 남구청,남구청,부설,부산광역시 남구 못골로 19(대연동),지하주차장,051-607-4156,35.136417,129.084019,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,남구,부산문화회관,부산문화회관,부설,부산광역시 남구 유엔평화로76번길 1(대연동),지상주차장,051-607-6118,35.127402,129.093917,종일개방,종일개방,종일개방,종일개방,X,X,X
부산광역시,동구,부산광역시 동구청,동구청 부설주차장,부설,부산광역시 동구 구청로 1,지하주차장,051-440-4161,35.129296,129.045298,종일개방,종일개방,종일개방,종일개방,X,종일개방,X
부산광역시,동구,부산광역시 동구청,수정2동제3공영주차장,노외,부산광역시 동구 수정동 823-22번지,주차장,051-440-4742,35.128957,129.044719,종일개방,종일개방,종일개방,종일개방,X,X,X
부산광역시,동래구,부산광역시 동래구 명장1동,명장1동 행정복지센터,부설,부산광역시 동래구 명장로 32,청사 입구,051-550-6548,35.204857,129.104304,,○,○,○,○,○,
부산광역시,동래구,부산광역시 동래구 안락1동,안락1동 행정복지센터,부설,부산광역시 동래구 안연로110번길 9,청사 입구,051-550-6508,35.197038,129.098591,,○,○,○,○,○,
부산광역시,동래구,부산광역시 동래구 안락2동,안락2동 행정복지센터,부설,부산광역시 동래구 명안로18번길 103,청사 입구,051-550-6529,35.197715,129.110083,,○,○,○,○,○,
부산광역시,동래구,부산광역시 동래구청,동래구청,부설,부산광역시 동래구 온천천로359번길 70,청사 입구,051-550-4154,35.19651,129.093097,,○,○,○,○,○,
부산광역시,부산진구,부산진구국민체육센터,부산진구국민체육센터,부설,부산광역시 부산진구 진남로328번길 35,건물3층,051-605-8742,35.155264,129.073714,○,○,○,○,○,○,X
부산광역시,부산진구,부산진구청,부산진구청,부설,부산광역시 부산진구 시민공원로 30,"건물뒤편, 지하주차장",051-605-4165,35.163235,129.052943,○,○,○,○,○,○,X
부산광역시,부산진구,부전마켓타운상인회,부전역공영주차장,노외,부산광역시 부산진구 부전동 46번지,부전마켓타운 맞은편,051-860-7746,35.163541,129.061813,,,,,,,X
부산광역시,북구,구포3동행정복지센터,구포3동주민센터,부설,부산광역시 북구 시랑로118번길 23(구포동),구포3동주민센터,051-309-6242,35.194858,129.008853,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,북구국민체육센터,국민체육센터,부설,부산광역시 북구 화명대로94번길 83(화명동),국민체육센터,051-365-7070,35.230775,129.017435,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,06~22시제외
부산광역시,북구,금곡도서관,금곡도서관,부설,부산광역시 북구 효열로203번길 34(금곡동),금곡도서관,051-309-6181,35.263114,129.016655,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,금곡동행정복지센터,금곡동주민센터,부설,부산광역시 북구 금곡대로 466(금곡동),금곡동주민센터,051-309-6265,35.250074,129.012812,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,기후변화체험교육관,기후변화체험교육관,부설,부산광역시 북구 학사로118(화명동),기후변화체험교육관,051-309-6290,35.232811,129.008102,18:00~익일 09:00,00:00~24:00,18:00~익일 09:00,18:00~익일 09:00,18:00~익일 09:00,18:00~익일 09:00,09~18시제외
부산광역시,북구,덕천1동행정복지센터,덕천1동주민센터,부설,부산광역시 북구 만덕대로102번가길 11(덕천동),덕천1동주민센터,051-309-6362,35.212354,129.016665,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,덕천3동행정복지센터,덕천3동주민센터,부설,부산광역시 북구 덕천로 118(덕천동),덕천3동주민센터,051-309-6402,35.210006,129.017614,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,구포어린이교통공원,구포어린이교통공원,부설,부산광역시 북구 낙동북로 687(구포동),구포어린이교통공원,051-309-4805,35.2008196,128.9997297,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,만덕2동주민센터,만덕2동주민센터,부설,부산광역시 북구 만덕2로44번길 10(만덕동),만덕2동주민센터,051-309-6442,35.21019,129.037222,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,문화예술회관,문화예술회관,부설,부산광역시 북구 금곡대로 46번길 50(덕천동),문화예술회관,051-309-4081,35.075563,129.066,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,부산광역시 북구청,북구청,부설,부산광역시 북구 낙동대로1570번길 33(구포동),북구청,051-309-4152,35.197222,128.990302,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,북구육아종합지원센터,북구육아종합지원센터,부설,부산광역시 북구 만덕1로 104번가길 37,북구육아종합지원센터,051-309-4352,35.215942,129.02635,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,화명1동주민센터,화명1동주민센터,부설,부산광역시 북구 금곡대로 274(화명동),화명1동주민센터,051-309-6308,35.232732,129.013799,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,화명2동주민센터,화명2동주민센터,부설,부산광역시 북구 양달로 58(화명동),화명2동주민센터,051-309-6324,35.243504,129.019881,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,화명3동주민센터,화명3동주민센터,부설,부산광역시 북구 화명신도시로 85(화명동),화명3동주민센터,051-309-6342,35.231753,129.010011,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,북구,화명도서관,화명도서관,부설,부산광역시 북구 화명대로12번길 59(화명동),화명도서관,051-309-6482,35.232218,129.009195,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,09~18시제외
부산광역시,사상구,사상구청 교통행정과,해표사료주변,노상,부산광역시 사상구 감전동 127-1 일원,해표사료주변,051-310-4515,35.157672,128.975546,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,감전시장주변,노상,부산광역시 사상구 감전동 132-7 일원,감전시장주변,051-310-4515,35.155461,128.984707,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,감전중천주변,노상,부산광역시 사상구 감전동 150-1 일원,감전중천주변,051-310-4515,35.154437,128.977133,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,감전중고차시장주변,노상,부산광역시 사상구 감전동 156-1 일원,감전중고차시장주변,051-310-4515,35.151351,128.988535,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,위생처리장주변,노상,부산광역시 사상구 감전동 509-11 일원,위생처리장주변,051-310-4515,35.136526,128.968289,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,한국강관주변,노상,부산광역시 사상구 감전동 949-7 일원,한국강관주변,051-310-4515,35.147937,128.972883,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,파라곤호텔주변,노상,부산광역시 사상구 괘법동 565-6 일원,파라곤호텔주변,051-310-4515,35.161401,128.981813,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,사상초등학교주변,노상,부산광역시 사상구 덕포동 752-3 일원,사상초등학교주변,051-310-4515,35.167981,128.984311,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,모라1동주민센터주변,노상,부산광역시 사상구 모라동 1345-6 일원,모라1동주민센터주변,051-310-4515,35.191521,128.991559,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,삼락재첩거리주변,노상,부산광역시 사상구 삼락동 70-21 일원,삼락재첩거리주변,051-310-4515,35.193699,128.985831,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,엄궁외식1번가주변,노상,부산광역시 사상구 엄궁동 652-7 일원,엄궁외식1번가주변,051-310-4515,35.12681,128.967068,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,동신운수옆복개공영주차장,노상,부산광역시 사상구 주례동 1160-53 일원,동신운수옆복개공영주차장,051-310-4515,35.149292,128.997654,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,동서고가도로밑주변,노상,부산광역시 사상구 주례동 394 일원,동서고가도로밑주변,051-310-4515,35.152756,129.002789,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,주례역공영주차장,노상,부산광역시 사상구 주례동 506 일원,주례역공영주차장,051-310-4515,35.150315,129.004071,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,주례오거리공영주차장,노상,부산광역시 사상구 주례동 743-2 일원,주례오거리공영주차장,051-310-4515,35.151116,129.000506,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,학장지구대주변,노상,부산광역시 사상구 학장동 242-1 일원,학장지구대주변,051-310-4515,35.143834,128.982063,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,사상전화국주변,노상,부산광역시 사상구 학장동 281-9 일원,사상전화국주변,051-310-4515,35.147205,128.991521,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,학장동주민센터주변,노상,부산광역시 사상구 학장동 386-1 일원,학장동주민센터주변,051-310-4515,35.14437,128.987301,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,신일금속주변,노상,부산광역시 사상구 학장동 723-1 일원,신일금속주변,051-310-4515,35.147262,128.978954,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,동영공업주변,노상,부산광역시 사상구 학장동 748-1 일원,동영공업주변,051-310-4515,35.140968,128.974797,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사하구,감천1동행정복지센터,감천1동행정복지센터,부설,부산광역시 사하구 감천로117번길 2 (감천동),동사 앞,051-220-5421,35.088032,129.004651,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,감천2동행정복지센터,감천2동행정복지센터,부설,부산광역시 사하구 옥천로93번길 14 (감천동),청사 입구 왼편,051-220-5451,35.094611,129.00936,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,괴정1동행정복지센터,괴정1동행정복지센터,부설,부산광역시 사하구 낙동대로250번안길 3 (괴정동 ),청사 앞,051-220-5001,35.099761,128.989317,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,괴정2동행정복지센터,괴정2동행정복지센터,부설,부산광역시 사하구 까치고개로 14-1 (괴정동),청사 앞,051-220-5031,35.103398,129.004026,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,괴정3동행정복지센터,괴정3동행정복지센터,부설,부산광역시 사하구 낙동대로171번길 30-5 (괴정동),건물 옆쪽,051-220-5066,35.100342,128.998093,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,괴정4동행정복지센터,괴정4동행정복지센터,부설,부산광역시 사하구 낙동대로309번길 9 (괴정동),청사 앞,051-220-5092,35.099145,128.983159,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,구평동행정복지센터,구평동행정복지센터,부설,부산광역시 사하구 서포로 48 (구평동),건물 뒤편,051-220-5391,35.081933,128.987827,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,다대1동행정복지센터,다대1동행정복지센터,부설,부산광역시 사하구 다대로530번길 7 (다대동),청사 내,051-220-5331,35.05917,128.971329,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,다대2동행정복지센터,다대2동행정복지센터,부설,부산광역시 사하구 다대로429번길 30 (다대동),청사 앞,051-220-5361,35.063553,128.982009,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,당리동행정복지센터,당리동행정복지센터,부설,부산광역시 사하구 낙동대로 380 (당리동),청사 입구,051-220-5122,35.102935,128.976681,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,사하구청 제2청사,사하구청 제2청사,부설,부산광역시 사하구 하신중앙로 185 (신평동),지상,051-220-0092,35.094968,128.961541,개방,개방,개방,개방,개방,개방,X
부산광역시,사하구,신평1동행정복지센터,신평1동행정복지센터,부설,부산광역시 사하구 장평로 258 (신평동),동사 입구,051-220-5211,35.089213,128.973251,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,장림1동행정복지센터,장림1동행정복지센터,부설,부산광역시 사하구 장림로161번길 2 (장림동),청사 입구,051-220-5271,35.083054,128.966871,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,장림2동행정복지센터,장림2동행정복지센터,부설,부산광역시 사하구 장평로 131 (장림동),동사 입구,051-220-5304,35.077871,128.972627,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,하단1동행정복지센터,하단1동행정복지센터,부설,부산광역시 사하구 하신중앙로 308 (하단동),청사입구,051-220-5152,35.103965,128.964243,개방,개방,개방,개방,개방,개방,O
부산광역시,사하구,하단2동행정복지센터,하단2동행정복지센터,부설,부산광역시 사하구 하신번영로 377 (하단동),청사 건물 옆편,051-220-5182,35.114589,128.960523,개방,개방,개방,개방,개방,개방,O
부산광역시,서구,남부민1동 행정복지센터,남부민1동 주민센터,부설,부산광역시 서구 충무대로255번길 5-26,청사입구,051-240-6602,35.092756,129.023337,09:00~,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,서구,부산광역시 서구청,서구청,부설,부산광역시 서구 구덕로120,청사입구,051-240-4151,35.0979,129.024205,09:00~,종일개방,종일개방,종일개방,종일개방,00:00~18:00,X
부산광역시,서구,구덕문화공원,서구 구덕문화공원,부설,부산광역시 서구 꽃마을로163번길 73,문화공원 초입,051-240-3521,35.126418,129.004992,09:00~,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,서구,서대신4동주민센터,서대신4동 주민센터,부설,부산광역시 서구 꽃마을로 58(서대신동3가),청사입구,051-240-6502,35.119106,129.011599,09:00~,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,서구,암남동 주민센터,암남동 주민센터,부설,부산광역시 서구 충무대로 83,청사입구,051-240-6662,35.079761,129.020978,09:00~,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,수영구,망미2동 행정복지센터,망미2동 행정복지센터,부설,부산광역시 수영구 수미로35번길 40,1층 주차장,051-610-5945,35.168921,129.117456,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,수영구,부산시 수영구청,부산광역시 수영구청,부설,부산광역시 수영구 남천동로 100(남천동),본관앞,051-610-4101,35.145366,129.112365,종일개방,종일개방,종일개방,종일개방,09:00~18:00(2시간무료),,
부산광역시,수영구,수영세무서,수영세무서,부설,부산광역시 수영구 남천동로19번길 28,지하1층 주차장,051-620-9246,35.143536,129.111237,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,수영구,수영구 국민체육센터,수영구 국민체육센터,부설,부산광역시 수영구 수영로521번길 77,지하1층 주차장,051-610-4795,35.152704,129.107939,종일개방,종일개방,종일개방,종일개방,종일개방,미개방,X
부산광역시,연제구,부산광역시청,부산광역시청,부설,부산광역시 연제구 중앙대로1001,건물뒤편 지상주차장,051-888-1867,35.179928,129.07509,종일개방,종일개방,종일개방,종일개방,20:00~익일08:00 개방,종일개방,x
부산광역시,연제구,부산지방국세청,부산지방국세청(건물뒤편),부설,부산광역시 연제구 연제로12,건물뒤편 노상주차장,051-750-7259,35.1768614,129.0781173,종일개방,종일개방,종일개방,09:00~18:00,20:00~익일07:00 개방,종일개방,ㅇ
부산광역시,연제구,부산지방노동청,부산지방노동청,부설,부산광역시 연제구 연제로36,부설주차장,051-853-0009,35.178331,129.076869,종일개방,종일개방,종일개방,종일개방,18:00~익일09:00 개방,종일개방,ㅇ
부산광역시,연제구,연제구청,연제구청,부설,부산광역시 연제구 연제로2,청사서쪽민원주차장,051-665-4151,35.17667,129.079412,종일개방,종일개방,종일개방,종일개방,19:00~익일09:00 개방,종일개방,x
부산광역시,영도구,문화예술회관,문화예술회관,부설,부산광역시 영도구 함지로79번길 6,"회관 일대(지상,지하)",051-419-5561,35.075563,129.066,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,영도구,영도구청,영도구청,부설,부산광역시 영도구 태종로423,청사일대,051-419-4164,35.090821,129.06772,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,X 
부산광역시,영도구,영도상수도사업소,영도상수도사업소,부설,부산광역시 영도구 봉래동4가 184-24,건물 앞,051-669-5104,35.091586,129.048274,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,영도구,영도어린이영어도서관,영도어린이영어도서관,부설,부산광역시 영도구 절영로 71,건물뒤편,051-419-5673,35.088493,129.039118,개방안함,개방안함,개방안함,개방안함,개방안함,개방안함,X 
부산광역시,중구,중구청,자갈치시장 앞,노상,부산광역시 중구 남포동4가 37-2,자갈치시장 앞,051-600-4552,35.097025,129.031491,"00:00~10:00, 21:00~24:00",종일개방,"00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00",X
